student_email,attendance_date,time_in,time_out,validation_status,validated_by_email,validated_at
studentsbims1@grr.la,2026-08-17,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-17T17:30:00+08:00
studentsbims1@grr.la,2026-08-18,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-18T17:30:00+08:00
studentsbims1@grr.la,2026-08-19,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-19T17:30:00+08:00
studentsbims1@grr.la,2026-08-20,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-20T17:30:00+08:00
studentsbims1@grr.la,2026-08-21,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-21T17:30:00+08:00
studentsbims1@grr.la,2026-08-22,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-22T17:30:00+08:00
studentsbims1@grr.la,2026-08-24,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-24T17:30:00+08:00
studentsbims1@grr.la,2026-08-25,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-25T17:30:00+08:00
studentsbims1@grr.la,2026-08-26,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-26T17:30:00+08:00
studentsbims1@grr.la,2026-08-27,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-27T17:30:00+08:00
studentsbims1@grr.la,2026-08-28,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-28T17:30:00+08:00
studentsbims1@grr.la,2026-08-29,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-29T17:30:00+08:00
studentsbims1@grr.la,2026-08-31,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-31T17:30:00+08:00
studentsbims1@grr.la,2026-09-01,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-09-01T17:30:00+08:00
studentsbims1@grr.la,2026-09-02,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-09-02T17:30:00+08:00
studentsbims1@grr.la,2026-09-03,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-09-03T17:30:00+08:00
studentsbims1@grr.la,2026-09-04,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-09-04T17:30:00+08:00
studentsbims1@grr.la,2026-09-05,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-09-05T17:30:00+08:00
studentsbims1@grr.la,2026-09-07,08:00:00,15:00:00,validated,coordinatorsbims1@grr.la,2026-09-07T14:30:00+08:00
studentsbims3@grr.la,2026-08-17,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-17T17:30:00+08:00
studentsbims3@grr.la,2026-08-18,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-18T17:30:00+08:00
studentsbims3@grr.la,2026-08-19,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-19T17:30:00+08:00
studentsbims3@grr.la,2026-08-20,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-20T17:30:00+08:00
studentsbims3@grr.la,2026-08-21,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-21T17:30:00+08:00
studentsbims3@grr.la,2026-08-22,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-22T17:30:00+08:00
studentsbims3@grr.la,2026-08-24,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-24T17:30:00+08:00
studentsbims3@grr.la,2026-08-25,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-25T17:30:00+08:00
studentsbims3@grr.la,2026-08-26,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-26T17:30:00+08:00
studentsbims3@grr.la,2026-08-27,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-27T17:30:00+08:00
studentsbims3@grr.la,2026-08-28,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-28T17:30:00+08:00
studentsbims3@grr.la,2026-08-29,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-29T17:30:00+08:00
studentsbims3@grr.la,2026-08-31,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-31T17:30:00+08:00
studentsbims3@grr.la,2026-09-01,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-09-01T17:30:00+08:00
studentsbims3@grr.la,2026-09-02,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-09-02T17:30:00+08:00
studentsbims3@grr.la,2026-09-03,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-09-03T17:30:00+08:00
studentsbims3@grr.la,2026-09-04,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-09-04T17:30:00+08:00
studentsbims3@grr.la,2026-09-05,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-09-05T17:30:00+08:00
studentsbims3@grr.la,2026-09-07,08:00:00,15:00:00,validated,coordinatorsbims1@grr.la,2026-09-07T14:30:00+08:00
studentsbims4@grr.la,2026-08-17,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-17T17:30:00+08:00
studentsbims4@grr.la,2026-08-18,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-18T17:30:00+08:00
studentsbims4@grr.la,2026-08-19,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-19T17:30:00+08:00
studentsbims4@grr.la,2026-08-20,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-20T17:30:00+08:00
studentsbims4@grr.la,2026-08-21,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-21T17:30:00+08:00
studentsbims4@grr.la,2026-08-22,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-22T17:30:00+08:00
studentsbims4@grr.la,2026-08-24,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-24T17:30:00+08:00
studentsbims4@grr.la,2026-08-25,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-25T17:30:00+08:00
studentsbims4@grr.la,2026-08-26,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-26T17:30:00+08:00
studentsbims4@grr.la,2026-08-27,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-27T17:30:00+08:00
studentsbims4@grr.la,2026-08-28,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-28T17:30:00+08:00
studentsbims4@grr.la,2026-08-29,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-29T17:30:00+08:00
studentsbims4@grr.la,2026-08-31,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-08-31T17:30:00+08:00
studentsbims4@grr.la,2026-09-01,08:00:00,17:00:00,validated,coordinatorsbims1@grr.la,2026-09-01T17:30:00+08:00
